customer_id,first_name,last_name,city,state,zipcode,email
23881,Yvonne,Cook,North Abigail,SD,26265,kathleen70@example.net
94540,Kathy,Sutton,Helenton,CO,63501,paynesonia@example.net
36399,Edward,Hughes,Davidside,ND,06240,yjohnson@example.org
81518,Jennifer,Rush,Lake Samanthamouth,DC,39208,qgonzalez@example.org
20697,James,Ford,Brandonfurt,KS,98687,anthonymaldonado@example.net
49785,John,Barnett,Lake Danahaven,NE,72744,rpeterson@example.org
21271,Holly,Andrews,Port Bobby,MP,74533,woodcandace@example.org
26716,Derrick,Mendoza,Gomezview,TX,10897,hillharry@example.com
40209,David,Todd,Mendozahaven,AL,99128,rogersmaria@example.com
98368,Joseph,Brown,East Christopherland,MI,32848,hillshane@example.org
03778,Jimmy,Reese,Port Keith,CA,24249,kylewilson@example.org
54252,Tammy,Todd,New Jerry,WA,85348,brownrebecca@example.org
02276,Rhonda,Fowler,Heatherton,WA,84979,pjohnson@example.com
57839,Jordan,Davis,Kevinbury,PW,81337,teresa73@example.net
50570,Edwin,Lamb,Lisaborough,ND,03767,joporter@example.org
08684,Krystal,Callahan,East Ryanfurt,VA,07660,jessica37@example.org
49389,Michael,Powell,Kanechester,PR,61827,ttorres@example.net
83820,Brian,Grimes,Samueltown,SD,23770,deanmolly@example.org
41136,Ashley,Brooks,Lake Billymouth,WY,28503,
76037,Angela,Hall,West Aaron,AS,15508,jjohnson@example.com
48633,Barbara,Murray,Clarktown,VT,11981,christinekaufman@example.net
68242,Jane,Garcia,West Lisaton,MS,46135,cassandrachandler@example.org
15165,Nathaniel,Hunter,East Matthew,SC,65523,heather35@example.org
21517,Kevin,Dunlap,Jessicafort,IL,88142,elizabethflores@example.com
98247,Matthew,Hernandez,South Heather,AK,06399,
81989,Michael,Bauer,Youngchester,MN,24832,
18942,Zachary,Baker,Ronaldport,IA,54496,olivermichael@example.org
22066,Ashley,Davis,Deniseland,TX,80622,salazarterri@example.org
